S.No.,Description,Sub Class,Class,Group,Division,Section
920,Wholesale of precious stones,46697,4669,466,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
921,Wholesale of metal and non-metal waste and scrap n.e.c.,46699,4669,466,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
922,Wholesale trade via e-commerce excluding activities of commission agents,46901,4690,469,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
923,Other non-specialised wholesale trade n.e.c.,46909,4690,469,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
924,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",47110,4711,471,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
925,Other retail sale in non-specialized stores,47190,4719,471,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
926,"Retail sale of cereals and pulses, tea, coffee, spices and flour",47211,4721,472,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
927,Retail sale of fresh or preserved fruit and vegetables,47212,4721,472,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
928,"Retail sale of meat, meat products, poultry products, fish, other seafood and products thereof",47213,4721,472,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
929,"Retail sale of bakery products, dairy products and eggs",47214,4721,472,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
930,Retail sale of sugar confectionery and sweetmeat,47215,4721,472,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
931,Retail sale of other food products n.e.c.,47219,4721,472,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
932,Retail sale of alcoholic beverages not consumed on the spot,47221,4722,472,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
933,Retail sale of non-alcoholic beverages including icecream not for consumption on the premises,47222,4722,472,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
934,Retail sale of tobacco products in specialized stores,47230,4723,472,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
935,Retail sale of automotive fuel in specialized stores [includes the activity of petrol filling stations.,47300,4730,473,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
936,Retail sale of computers and computer peripherals,47411,4741,474,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
937,Retail sale of video games,47412,4741,474,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
938,Retail sale of non-customized software,47413,4741,474,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
939,Retail sale of telecommunication equipment,47414,4741,474,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
940,Retail sale of audio and video equipment in specialized stores,47420,4742,474,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
941,Retail sale of textiles in specialized stores,47510,4751,475,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
942,"Retail sale of building material such as bricks, wood, sanitary equipment",47521,4752,475,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
943,"Retail sale of hardware including paints, varnishes and lacquers and do-it- yourself materials and equipments",47522,4752,475,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
